party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
R,502,13,,http://www.alexander.senate.gov/public/?a=RSS.Feed,,85.45,89927603836,kg:/m/01rbs3,A000360,TN,senatorlamaralexander,14,http://www.alexander.senate.gov,2.79,https://api.propublica.org/congress/v1/members/A000360.json,1695,,Lamar,Alexander,Lamar Alexander,,2020,0,SenAlexander
R,502,5,,http://www.ayotte.senate.gov/rss/,,79.39,1.23436E+14,kg:/m/0g9g4r,A000368,NH,kellyayottenh,7,http://www.ayotte.senate.gov,1.39,https://api.propublica.org/congress/v1/members/A000368.json,2075,,Kelly,Ayotte,Kelly Ayotte,,2016,0,KellyAyotte
R,502,5,,http://www.blunt.senate.gov/public/?a=RSS.Feed,,90.83,1.42473E+14,kg:/m/034fn4,B000575,MO,SenatorBlunt,22,http://www.blunt.senate.gov,4.38,https://api.propublica.org/congress/v1/members/B000575.json,1464,,Roy,Blunt,Roy Blunt,,2016,0,RoyBlunt
D,502,23,,https://www.boxer.senate.gov/rss/?p=release,www.boxer.senate.gov,93.56,1.16513E+14,kg:/m/01c1n5,B000711,CA,senatorboxer,67,https://www.boxer.senate.gov,13.35,https://api.propublica.org/congress/v1/members/B000711.json,116,,Barbara,Boxer,Barbara Boxer,,2016,0,SenatorBoxer
D,502,9,,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,www.brown.senate.gov,93.48,,kg:/m/034s80,B000944,OH,,11,http://www.brown.senate.gov,2.19,https://api.propublica.org/congress/v1/members/B000944.json,136,,Sherrod,Brown,Sherrod Brown,,2018,0,SenSherrodBrown
R,502,11,,,burr.senate.gov,91.78,1.32654E+14,kg:/m/03g_s9,B001135,NC,SenatorRichardBurr,3,http://www.burr.senate.gov,0.6,https://api.propublica.org/congress/v1/members/B001135.json,153,M.,Richard,Burr,Richard Burr,,2016,0,SenatorBurr
D,502,3,,http://www.baldwin.senate.gov/rss/feeds/?type=all,baldwin.senate.gov,94.42,7357041101,kg:/m/024v02,B001230,WI,TammyBaldwin,0,http://www.baldwin.senate.gov,0,https://api.propublica.org/congress/v1/members/B001230.json,1558,,Tammy,Baldwin,Tammy Baldwin,,2018,0,SenatorBaldwin
R,502,5,,http://www.boozman.senate.gov/public/index.cfm/rss/feed,,93.57,7686715735,kg:/m/024s3v,B001236,AR,JohnBoozman,4,http://www.boozman.senate.gov,0.8,https://api.propublica.org/congress/v1/members/B001236.json,1687,,John,Boozman,John Boozman,,2016,0,JohnBoozman
R,502,9,,,www.barrasso.senate.gov,93.21,21146775942,kg:/m/02rsm32,B001261,WY,johnbarrasso,1,http://www.barrasso.senate.gov,0.2,https://api.propublica.org/congress/v1/members/B001261.json,1881,,John,Barrasso,John Barrasso,,2018,0,SenJohnBarrasso
D,502,7,,,,90.44,97172997732,kg:/m/05b60qf,B001267,CO,senatorbennet,0,https://www.bennet.senate.gov,0,https://api.propublica.org/congress/v1/members/B001267.json,1965,,Michael,Bennet,Michael Bennet,,2016,0,SenBennetCo
D,502,5,,http://www.blumenthal.senate.gov/rss/feeds/?type=press,,96.2,2.89987E+14,kg:/m/03tg8m,B001277,CT,SenBlumenthal,2,http://www.blumenthal.senate.gov,0.4,https://api.propublica.org/congress/v1/members/B001277.json,2076,,Richard,Blumenthal,Richard Blumenthal,,2016,0,SenBlumenthal
